,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
NDUFAF7,3.3240186e-10,2.014989e-10,3.1532882e-10,3.4194408e-11,1.6290697e-10,2.3174912e-10,2.1563275e-10,1.1463468e-10
RBM5,2.5382413e-10,2.0151658e-10,0.002724852,3.3982903e-11,1.628057e-10,2.1613922e-10,2.1565907e-10,1.1461281e-10
SLC7A2,2.5310673e-10,2.014885e-10,2.846879e-10,3.4692568e-11,1.6281129e-10,3.028632e-10,2.1557765e-10,1.4809724e-10
SARM1,2.616657e-10,2.0151542e-10,3.0176706e-10,3.401617e-11,1.6288398e-10,2.425701e-10,2.156348e-10,1.14594015e-10
POLDIP2,4.1807838e-10,2.1283132e-10,3.965715e-10,3.4626396e-11,1.7320564e-10,6.448936e-10,2.2821799e-10,1.283681e-10
AK2,2.5397814e-10,2.0147391e-10,2.8457825e-10,3.398297e-11,0.0016047294,2.167618e-10,2.1561056e-10,1.1462068e-10
CD38,3.7183953e-10,2.0148774e-10,2.845397e-10,3.398232e-11,1.6270327e-10,2.1627902e-10,2.156122e-10,1.1459358e-10
RBM6,9.954169e-10,2.0144471e-10,2.8401323e-10,3.3981932e-11,0.0012572708,2.7819286e-10,2.1561836e-10,1.145962e-10
CAMKK1,2.5959573e-10,2.0151773e-10,2.8464775e-10,3.398219e-11,1.6291568e-10,2.1686766e-10,2.1559328e-10,1.15757424e-10
RECQL,3.284929e-10,2.0227867e-10,2.9166095e-10,3.40333e-11,1.629483e-10,2.1790174e-10,2.1705844e-10,1.1968554e-10
VPS50,4.92395e-10,2.0152695e-10,5.2438376e-10,3.4242643e-11,1.6282371e-10,5.499228e-10,2.1542393e-10,1.1460494e-10
NDUFAB1,2.5358798e-10,0.004114302,2.8482586e-10,3.398342e-11,1.628408e-10,2.1641067e-10,2.1568293e-10,1.14613256e-10
SLC25A13,2.9381958e-10,2.0151388e-10,0.00066160376,3.3982383e-11,1.6283894e-10,2.186695e-10,2.1563193e-10,1.1461194e-10
ST7,2.646411e-10,2.0199105e-10,2.9752636e-10,3.4018895e-11,1.6337558e-10,2.422834e-10,2.1649901e-10,1.1839726e-10
CDC27,2.6716068e-10,0.00072899193,2.847167e-10,3.398297e-11,1.6270885e-10,2.1666426e-10,2.1563029e-10,1.1460669e-10
DVL2,2.6327468e-10,2.0157655e-10,2.8549593e-10,3.402402e-11,1.6298964e-10,2.2641349e-10,2.1558218e-10,1.1460363e-10
PRSS22,2.5387256e-10,2.0147775e-10,0.0021078447,3.398303e-11,1.6282123e-10,2.1819829e-10,2.1563193e-10,1.1462593e-10
UPF1,5.1380206e-10,2.0239443e-10,2.914702e-10,3.424166e-11,1.6291754e-10,3.993222e-10,2.1817081e-10,1.1833313e-10
SKAP2,2.6001296e-10,0.0010980148,2.846423e-10,3.398297e-11,1.6283117e-10,2.16291e-10,2.1568954e-10,1.1457347e-10
MCUB,0.001505244,2.0151388e-10,2.844274e-10,3.3982837e-11,1.6277031e-10,2.1646351e-10,2.1555956e-10,1.1459227e-10
DHX33,2.604418e-10,2.015281e-10,2.904923e-10,3.3987764e-11,1.6283179e-10,2.2414819e-10,2.160535e-10,1.1567092e-10
MEOX1,2.5433977e-10,2.0151773e-10,2.8461625e-10,3.3983098e-11,1.6285572e-10,2.1666507e-10,2.1558094e-10,1.174853e-10
THSD7A,2.5384062e-10,2.0151235e-10,2.8453373e-10,3.3982577e-11,1.6287777e-10,2.3401e-10,2.1559902e-10,3.117782e-10
LIG3,2.6506744e-10,2.0173001e-10,2.9455352e-10,3.4037845e-11,1.6307795e-10,2.2125554e-10,2.158879e-10,1.1465348e-10
RPAP3,0.00045176575,2.0153042e-10,2.841682e-10,3.3983098e-11,1.6278023e-10,2.524934e-10,2.1552832e-10,1.14578715e-10
ACSM3,2.5394328e-10,2.014839e-10,2.8455763e-10,3.3983098e-11,1.628874e-10,0.001575786,2.1556615e-10,1.1457916e-10
CIAPIN1,3.2024136e-10,2.023736e-10,3.4850367e-10,3.422351e-11,1.6400001e-10,2.9911387e-10,2.1696366e-10,1.1480316e-10
FAM214B,2.679711e-10,2.0153502e-10,2.9636302e-10,3.398232e-11,1.628057e-10,2.163793e-10,2.1560849e-10,1.15895724e-10
COPZ2,2.5394714e-10,2.0152158e-10,2.8460106e-10,3.3983098e-11,1.6280043e-10,2.311514e-10,2.1553202e-10,1.1461762e-10
PRKAR2B,2.5389194e-10,2.0150619e-10,2.8449956e-10,3.3982903e-11,1.6281688e-10,0.0012891596,2.1542229e-10,1.1460407e-10
CREBBP,2.7552365e-09,2.0150503e-10,2.844274e-10,3.4309913e-11,1.6289331e-10,0.00043662832,2.1579075e-10,1.1655635e-10
TSPOAP1,2.53412e-10,2.0148544e-10,2.8436012e-10,3.3982643e-11,1.6290012e-10,4.6892e-10,2.1554189e-10,1.14602314e-10
GCFC2,3.9423584e-10,2.0148659e-10,2.845001e-10,3.4524047e-11,1.6293183e-10,9.096175e-10,2.156669e-10,1.1753863e-10
WDR54,3.0778521e-10,2.0154156e-10,2.9535518e-10,3.4072793e-11,1.6299401e-10,2.3916039e-10,2.154798e-10,1.1527667e-10
CROT,2.7907665e-10,2.0192018e-10,3.1276395e-10,3.412105e-11,1.6303814e-10,2.4318528e-10,2.1576359e-10,1.1489385e-10
ABCB4,2.5562077e-10,2.0150581e-10,2.844632e-10,3.398297e-11,1.6269426e-10,2.1634917e-10,2.1559492e-10,1.1460101e-10
KMT2E,2.906824e-10,2.0147622e-10,2.8416386e-10,0.0005486779,1.627492e-10,2.1666094e-10,2.1552668e-10,1.14594445e-10
RHBDD2,2.5364508e-10,2.0149467e-10,2.8448383e-10,3.3982577e-11,1.629045e-10,2.1636858e-10,2.1564181e-10,0.00075386727
IBTK,3.261343e-10,2.0145163e-10,6.61089e-10,3.4279954e-11,1.6272747e-10,0.0005299725,2.1556942e-10,1.1458527e-10
ZNF195,2.6747374e-10,2.0156e-10,3.1090408e-10,3.4104913e-11,1.6285354e-10,2.9173383e-10,2.1574548e-10,1.14604506e-10
MYCBP2,4.5558752e-09,2.0149851e-10,0.0015522926,3.398219e-11,1.6279764e-10,2.1651222e-10,2.1562124e-10,1.14590955e-10
ITGAL,2.0927537e-09,2.0150004e-10,2.8418012e-10,3.398271e-11,1.6267222e-10,2.1618006e-10,2.1558054e-10,1.1459358e-10
ITGA3,2.5417005e-10,2.014816e-10,2.84153e-10,3.398303e-11,1.6268838e-10,0.0018501809,2.1553077e-10,1.1460801e-10
ZFX,0.0009432895,2.014816e-10,2.8407715e-10,3.3983226e-11,1.628498e-10,5.9715416e-10,2.1564756e-10,1.146115e-10
LAMP2,2.540431e-10,2.0149467e-10,2.8439268e-10,3.3983098e-11,1.6293121e-10,2.1625511e-10,2.1545966e-10,0.0019138929
GDE1,2.53859e-10,2.0148007e-10,3.9764574e-09,3.3983098e-11,1.62779e-10,2.1604402e-10,2.1556779e-10,1.14601446e-10
CRLF1,2.5402466e-10,2.0160539e-10,2.8518465e-10,3.3984718e-11,1.6285508e-10,2.1651306e-10,2.155571e-10,1.14665735e-10
OSBPL7,2.5668295e-10,2.0147928e-10,4.106721e-10,3.3986466e-11,1.6274423e-10,2.1654775e-10,2.1566485e-10,1.1461588e-10
MAP3K14,3.15119e-10,2.0150619e-10,2.852113e-10,3.3982903e-11,1.6276037e-10,0.00017335589,2.1556203e-10,1.14594896e-10
ABCC8,2.5382413e-10,2.0153079e-10,2.8460972e-10,3.398271e-11,1.6273058e-10,9.751967e-05,2.154568e-10,1.1459926e-10
AP2B1,2.536654e-10,2.0148007e-10,0.0049806563,3.398232e-11,1.6292562e-10,2.167585e-10,2.1566648e-10,1.14607566e-10
ZNF263,1.0024933e-09,2.0149467e-10,2.8472863e-10,3.4093985e-11,1.628728e-10,3.9349737e-10,2.1545966e-10,1.2210807e-10
CX3CL1,2.537293e-10,2.0148312e-10,2.8459343e-10,3.3983226e-11,1.6283551e-10,2.6488903e-10,2.1563029e-10,1.4662725e-10
MAP3K9,2.5606486e-10,2.0151042e-10,3.2231137e-10,3.398686e-11,1.6276037e-10,2.7840516e-10,2.154379e-10,1.1460888e-10
RALA,4.0350948e-10,2.0147851e-10,2.8417796e-10,0.000102463426,1.627641e-10,2.8212516e-10,2.1560397e-10,1.14590955e-10
BAIAP2L1,2.536209e-10,2.014885e-10,0.0010172041,3.3981932e-11,1.6275012e-10,2.1630749e-10,2.1547159e-10,1.1466048e-10
KDM7A,2.8770492e-10,2.0148928e-10,0.00042970938,3.398303e-11,1.6275789e-10,2.1627614e-10,2.1533765e-10,1.1460713e-10
ETV1,2.564999e-10,2.0147545e-10,3.0151506e-10,3.400339e-11,1.6291692e-10,2.2500916e-10,2.1567965e-10,1.1549675e-10
AGK,2.2692332e-09,2.0151542e-10,2.9654454e-10,3.437817e-11,1.6254445e-10,3.4856215e-10,2.1573396e-10,1.218001e-10
ALDH3B1,2.5411384e-10,2.0149543e-10,3.145569e-10,3.398316e-11,1.6296509e-10,2.2226222e-10,2.155982e-10,1.14583086e-10
TTC22,2.5465918e-10,2.0150082e-10,2.9886524e-10,3.3983746e-11,1.6276472e-10,2.1748776e-10,2.1558011e-10,1.1460057e-10
PHTF2,0.00044994074,2.0150619e-10,2.839033e-10,3.3982837e-11,1.6274236e-10,2.2521397e-10,2.1548144e-10,1.1457828e-10
CCL26,2.5567443e-10,2.0155463e-10,2.8739505e-10,3.3998266e-11,1.6289578e-10,2.1726514e-10,2.1580475e-10,1.14861856e-10
FARP2,2.5378155e-10,2.0148698e-10,5.044672e-10,3.398141e-11,0.00037371632,3.6603906e-10,2.1573067e-10,1.14607566e-10
USH1C,2.536915e-10,2.0147775e-10,0.0011679387,3.3982837e-11,1.6286068e-10,2.1645771e-10,2.1553243e-10,1.14594896e-10
DBF4,3.1218522e-10,2.014962e-10,2.9664013e-10,3.4058627e-11,1.6290946e-10,2.1600405e-10,2.1577674e-10,1.1461806e-10
TBXA2R,2.5372054e-10,2.0151118e-10,2.8469008e-10,3.398245e-11,1.6288833e-10,2.1635577e-10,2.1561138e-10,1.1494076e-10
IFRD1,1.2331261e-08,2.1117667e-10,6.928774e-10,3.5805647e-11,1.6608138e-10,2.4955032e-10,2.526837e-10,1.3372582e-10
COX10,3.8627895e-10,2.0151542e-10,2.8454133e-10,3.4170677e-11,1.6289267e-10,3.1773773e-10,2.156891e-10,1.1460975e-10
GTF2IRD1,2.5370314e-10,2.0153733e-10,9.3794486e-05,3.3982577e-11,1.6283613e-10,2.7169877e-10,2.1567265e-10,1.1459139e-10
VPS41,2.5872673e-10,2.0144779e-10,2.845142e-10,3.3982775e-11,1.6287963e-10,0.0010375209,2.1546008e-10,1.1459926e-10
ARHGAP44,2.539481e-10,2.0153348e-10,3.393583e-10,3.405421e-11,1.6268527e-10,4.400024e-10,2.1564017e-10,1.211911e-10
ELAC2,2.8243527e-10,2.0150119e-10,2.846499e-10,3.402305e-11,1.6284328e-10,2.2095611e-10,2.1581956e-10,1.14739676e-10
SCIN,2.534642e-10,2.0148083e-10,3.2719663e-10,3.3996195e-11,1.626834e-10,2.160432e-10,2.1562782e-10,1.1459751e-10
ARSD,0.001433141,2.0151465e-10,2.845397e-10,3.3983354e-11,1.6270699e-10,2.1642675e-10,2.1566979e-10,1.1459358e-10
ADIPOR2,2.5362962e-10,2.0151465e-10,2.8409394e-10,3.3983098e-11,1.6284732e-10,2.1660516e-10,0.0010163877,1.14583086e-10
MARK4,3.007942e-10,2.0151157e-10,2.997964e-10,3.398232e-11,1.6278211e-10,0.00011078431,2.1564879e-10,1.1578481e-10
PROM1,2.537312e-10,2.0150158e-10,2.845283e-10,3.398271e-11,0.0012582208,2.1659732e-10,2.1538078e-10,1.14609315e-10
CCDC124,2.5337915e-10,2.0148698e-10,0.003855424,3.3982903e-11,1.6283117e-10,2.1622251e-10,2.1557683e-10,1.14607566e-10
CEACAM21,2.6670854e-10,2.0148774e-10,2.8442088e-10,3.3982126e-11,1.628902e-10,2.163665e-10,2.1566648e-10,1.14616316e-10
PAFAH1B1,2.8165953e-10,2.0146776e-10,2.8414002e-10,3.3982903e-11,0.0014959064,2.1661963e-10,2.1553077e-10,1.1459314e-10
DNAH9,2.545174e-10,2.0147622e-10,2.8455654e-10,3.3983098e-11,1.6298032e-10,2.3168636e-10,2.1553818e-10,1.14617184e-10
KIAA0100,3.7640785e-10,2.0319822e-10,5.164184e-10,3.407182e-11,1.6282745e-10,2.4335325e-10,2.1912208e-10,1.14616316e-10
GAS7,7.102689e-05,2.0151274e-10,2.84448e-10,3.3982837e-11,1.6280818e-10,2.2656209e-10,2.1553406e-10,1.4698846e-10
MATK,2.703903e-10,2.0150234e-10,2.8415031e-10,3.398219e-11,1.6274175e-10,2.1670557e-10,2.1567143e-10,1.1460801e-10
ST7L,4.3610637e-10,2.0149467e-10,2.8467434e-10,3.3982577e-11,1.6284732e-10,0.00026841692,2.1560233e-10,1.2060952e-10
LUC7L,2.5381736e-10,2.014962e-10,2.8447567e-10,3.398245e-11,1.626071e-10,2.1629512e-10,0.0010201137,1.1461281e-10
CACNA2D2,2.5565394e-10,2.0150735e-10,2.847444e-10,3.398692e-11,1.6292313e-10,2.1687925e-10,2.1549831e-10,1.1458877e-10
PIGQ,4.7136e-10,2.0164921e-10,2.8465424e-10,3.4316456e-11,1.6413114e-10,1.127226e-09,2.1556697e-10,1.1799056e-10
TEAD3,2.5330377e-10,2.0151003e-10,3.3467745e-10,3.398297e-11,1.636694e-10,2.2651543e-10,2.1561014e-10,1.16336024e-10
DNAJC11,4.719249e-10,2.0280327e-10,4.986061e-10,3.4374628e-11,1.6315449e-10,4.085736e-10,2.1750894e-10,1.1649856e-10
MYLIP,2.538309e-10,0.00067571166,2.845712e-10,3.3983098e-11,1.6276161e-10,3.0429576e-10,2.1546831e-10,1.14604506e-10
NOX1,2.5470875e-10,2.0152041e-10,2.858512e-10,3.39888e-11,1.6274299e-10,2.2058261e-10,2.1554805e-10,1.1461981e-10
PSMB1,2.5347e-10,2.0151388e-10,0.013098189,3.3983292e-11,1.6288647e-10,2.1650892e-10,2.1573354e-10,1.14606255e-10
JARID2,0.00042008198,2.014816e-10,2.8445019e-10,3.402707e-11,1.6297316e-10,2.4101496e-10,2.1567183e-10,1.1462068e-10
CDKL5,2.6283317e-10,2.0249251e-10,3.1439737e-10,3.41712e-11,1.6435606e-10,2.8361119e-05,2.1638176e-10,1.183819e-10
NADK,5.765208e-10,2.0365064e-10,5.449425e-09,3.4638157e-11,1.6496063e-10,2.1667666e-10,2.1980187e-10,1.2184703e-10
CYTH3,0.0005029673,2.0152925e-10,2.8467598e-10,3.398297e-11,1.6282434e-10,2.1619985e-10,2.1541652e-10,1.4198487e-10
ADAM22,2.596373e-10,2.015108e-10,2.8501063e-10,3.3990876e-11,1.6290573e-10,2.2023243e-10,2.1543872e-10,1.1583783e-10
SYPL1,2.5391714e-10,2.1390735e-10,3.8378348e-10,3.8431584e-11,1.8831263e-10,0.005645664,2.1561508e-10,1.1985916e-10
CYB561,2.537922e-10,2.1158589e-10,2.8863234e-09,3.3983226e-11,1.7978448e-10,3.4770362e-10,2.2372362e-10,1.16286765e-10
SPAG9,2.6953453e-10,0.001179961,2.8423866e-10,3.3982126e-11,1.6278397e-10,2.213391e-10,2.1550899e-10,1.14604506e-10
AASS,2.5354352e-10,2.0304092e-10,2.843341e-10,3.464278e-11,1.6425107e-10,3.4077163e-10,2.2436462e-10,2.3987168e-10
PLEKHG6,2.5379315e-10,2.015108e-10,5.4866867e-10,3.3982383e-11,1.6276533e-10,2.6959673e-10,2.1550817e-10,1.14601884e-10
MPND,2.5805055e-10,2.0164113e-10,2.872427e-10,3.3982577e-11,1.6300582e-10,2.1920443e-10,2.1562782e-10,1.1459969e-10
MGST1,2.5390648e-10,2.0149274e-10,0.005458908,3.398297e-11,1.628175e-10,2.1693303e-10,2.1575494e-10,1.1462243e-10
CRY1,3.5495662e-10,2.0151311e-10,2.8430264e-10,3.398271e-11,1.6286937e-10,0.00035595024,2.157352e-10,1.3225461e-10
NFIX,2.5341684e-10,2.0147699e-10,2.8461136e-10,3.398219e-11,1.6282682e-10,2.9109576e-10,2.1546667e-10,0.00045280892
ST3GAL1,2.927701e-10,2.0145624e-10,2.8459235e-10,3.3983098e-11,1.6283894e-10,2.1661135e-10,0.0009524314,1.1462156e-10
PKD1,2.5591154e-10,2.0162037e-10,2.8636526e-10,3.3986987e-11,1.6291629e-10,2.2212067e-10,2.1570022e-10,1.1489385e-10
MED24,3.6235123e-10,2.0149774e-10,7.9306317e-10,3.4169893e-11,1.6270574e-10,3.2968867e-10,2.1554229e-10,1.1460801e-10
HEATR5B,0.0003441564,2.0150195e-10,2.892814e-10,3.4008775e-11,1.6288863e-10,2.9296393e-10,2.1548556e-10,1.14614124e-10
SEC62,2.5436114e-10,2.0153579e-10,2.846005e-10,3.3981606e-11,1.6283148e-10,2.1719138e-10,2.1563153e-10,0.0069445795
RPS20,2.5468347e-10,2.0153502e-10,2.8468683e-10,3.3983098e-11,1.6292188e-10,2.1746246e-10,2.1578335e-10,0.03739948
CSDE1,2.538164e-10,0.0042304154,2.842159e-10,3.398297e-11,1.6277528e-10,2.160568e-10,2.154979e-10,1.14614124e-10
UBE3C,8.679233e-10,2.0148891e-10,3.4166656e-10,3.4243358e-11,1.628964e-10,0.0010454499,2.1558381e-10,1.1458571e-10
REV3L,0.0009372341,2.0145123e-10,2.8464447e-10,3.3983226e-11,1.6287094e-10,9.193117e-10,2.1557765e-10,1.14616316e-10
IYD,2.5374475e-10,2.0150888e-10,2.988071e-10,3.3982775e-11,1.6289144e-10,2.1674029e-10,2.1559492e-10,1.14619376e-10
FAM76A,2.9071123e-10,2.0431125e-10,3.177329e-10,3.4172762e-11,1.6560342e-10,2.375569e-10,2.1925754e-10,1.1710587e-10
TRAF3IP3,0.00042675043,2.0147622e-10,2.840804e-10,3.3982903e-11,1.6276037e-10,2.1656964e-10,2.156451e-10,1.1460801e-10
POMT2,2.5346036e-10,2.0226477e-10,2.9327982e-10,3.401338e-11,1.6350153e-10,2.2553336e-10,2.1610377e-10,1.1514438e-10
VTA1,7.27252e-10,2.0149006e-10,3.4698808e-10,3.425982e-11,1.6290977e-10,4.3696316e-10,2.1546255e-10,1.1459314e-10
MLXIPL,2.533975e-10,2.0152618e-10,3.2019679e-10,3.398245e-11,1.6269955e-10,5.0444027e-10,2.1548721e-10,1.1460407e-10
BAZ1B,9.63445e-10,2.0146547e-10,2.8448652e-10,3.434645e-11,1.6287155e-10,0.00030560946,2.1547734e-10,1.14606255e-10
RANBP9,0.0007828662,2.0148698e-10,2.844133e-10,3.4055963e-11,1.6291692e-10,3.2035682e-10,2.1544447e-10,1.16019146e-10
ETV7,2.551444e-10,2.014716e-10,2.897375e-10,3.4009164e-11,1.628902e-10,2.1609636e-10,2.154909e-10,1.14945144e-10
SPRTN,2.7173244e-10,2.0222234e-10,2.9512656e-10,3.4014222e-11,1.6303317e-10,2.2640398e-10,2.1653658e-10,1.1508247e-10
ZNF207,2.5368474e-10,2.0152925e-10,2.8451747e-10,3.3982255e-11,1.628964e-10,2.161351e-10,2.1549543e-10,0.0013005141
UQCRC1,2.536954e-10,2.0147622e-10,2.846548e-10,3.398297e-11,1.6279825e-10,2.1637764e-10,2.1558176e-10,0.0017449949
STARD3NL,2.542932e-10,2.0149774e-10,2.8456199e-10,3.3983098e-11,1.627818e-10,2.1637352e-10,0.0011955131,1.14604506e-10
CD9,2.5448246e-10,2.014962e-10,2.849378e-10,0.0014794383,1.630086e-10,2.169235e-10,2.1571667e-10,1.1461894e-10
NCAPD2,3.271099e-10,2.0156e-10,3.5828207e-10,3.421274e-11,1.6274951e-10,2.4548652e-10,2.1603125e-10,1.1459139e-10
IFFO1,2.5834898e-10,2.0182238e-10,2.8446973e-10,3.399593e-11,1.6310221e-10,2.178469e-10,2.1587968e-10,1.15061835e-10
GIPR,2.5632382e-10,2.0150619e-10,3.387207e-10,3.3981932e-11,1.6275385e-10,2.796964e-10,2.1551927e-10,1.1459926e-10
PHF7,2.5990685e-10,2.0193981e-10,2.863019e-10,3.4035316e-11,1.6315076e-10,2.2211812e-10,2.1583685e-10,1.14641234e-10
NISCH,2.5355124e-10,2.014962e-10,0.0014143735,3.398297e-11,1.627697e-10,2.1669441e-10,2.1558834e-10,1.1460582e-10
STAB1,3.605725e-10,2.0147467e-10,2.8468575e-10,3.3982775e-11,1.6283862e-10,2.158912e-10,2.156525e-10,1.15382696e-10
FUZ,2.6337413e-10,2.0152734e-10,2.934734e-10,3.4140645e-11,1.6287963e-10,3.3465702e-10,2.1558218e-10,1.14612375e-10
PRSS3,2.544611e-10,2.0155616e-10,2.8437747e-10,3.398297e-11,1.6282278e-10,2.163888e-10,2.1584426e-10,0.0024740642
ZNF200,2.5646274e-10,2.0156078e-10,2.8579014e-10,3.39888e-11,1.6284048e-10,2.1908111e-10,2.1569158e-10,1.14594896e-10
CD4,0.0006263339,2.014789e-10,2.8413893e-10,3.398219e-11,1.6284173e-10,2.1695454e-10,2.1565331e-10,1.1460539e-10
LRRC23,2.635108e-10,2.0224702e-10,3.2113073e-10,3.412756e-11,1.6372216e-10,2.4726568e-10,2.1677173e-10,1.14598823e-10
BTK,2.60569e-10,2.0147699e-10,2.845131e-10,3.3998138e-11,1.6288584e-10,2.1667335e-10,2.155094e-10,1.14619376e-10
HFE,2.5383673e-10,2.0182583e-10,2.920306e-10,3.3992562e-11,1.6332574e-10,2.1872706e-10,2.1581009e-10,1.1460975e-10
SCMH1,2.816531e-10,2.0151618e-10,3.4682995e-10,3.4258252e-11,1.6288554e-10,0.0005207966,2.1579527e-10,1.1460669e-10
FYN,0.0018931292,2.0146852e-10,2.847672e-10,3.398297e-11,1.6311e-10,2.1627038e-10,2.1561795e-10,1.1457828e-10
HIVEP2,5.9342997e-10,2.0147622e-10,2.8441652e-10,3.3982775e-11,1.6277558e-10,0.00045318934,2.1563563e-10,1.1714786e-10
FMO1,2.536538e-10,2.0204499e-10,2.84499e-10,3.401059e-11,1.6368126e-10,2.416714e-10,2.1594927e-10,1.161006e-10
CLCN6,3.8558554e-10,2.0531325e-10,4.4168239e-10,3.4352673e-11,1.6662301e-10,2.829831e-10,2.192291e-10,1.209537e-10
MRC2,2.8643246e-10,2.0152002e-10,2.8445993e-10,3.398316e-11,1.6268961e-10,2.1622251e-10,2.1555298e-10,1.8122219e-10
TSPAN9,3.0905586e-10,2.0149311e-10,2.8455815e-10,3.3981932e-11,1.6278676e-10,5.09171e-10,2.1557067e-10,3.926096e-05
BTBD7,2.5358704e-10,2.014885e-10,2.8476396e-10,3.3982903e-11,0.00062785496,3.062428e-10,2.1557477e-10,1.145892e-10
MKS1,2.6247848e-10,2.0248557e-10,3.137462e-10,3.404447e-11,1.6383807e-10,2.4358868e-10,2.1619613e-10,1.15189636e-10
ABHD5,4.02653e-10,2.0870804e-10,3.0989347e-10,3.4364272e-11,1.6529511e-10,2.3714447e-10,2.2784397e-10,1.1714474e-10
ANOS1,2.644675e-10,2.0216719e-10,2.8439268e-10,3.3992562e-11,1.6328462e-10,2.1652792e-10,2.1621839e-10,1.1601472e-10
AKAP8L,2.546378e-10,2.014962e-10,2.8442956e-10,3.398271e-11,1.6283987e-10,0.001007241,2.1541448e-10,1.1459227e-10
MBTD1,3.5271058e-10,2.014962e-10,0.00046831858,3.398232e-11,1.6281874e-10,3.8685183e-10,2.1568994e-10,1.1457697e-10
UTP18,1.9271886e-09,2.0190861e-10,3.7991685e-10,3.4617285e-11,1.6385712e-10,2.344666e-10,2.2057968e-10,1.1764047e-10
RNF216,0.0006729066,2.0152618e-10,2.846385e-10,3.398459e-11,1.6287902e-10,2.5382463e-10,2.1553077e-10,1.14594445e-10
TTC19,1.4396748e-09,2.0155577e-10,2.8452615e-10,3.4120658e-11,1.6296167e-10,7.0975653e-10,2.1851732e-10,1.2785398e-10
